Species,Country.of.Origin,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Category.One.Defects,Quakers,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Year,id
Arabica,Ethiopia,2010-08-31,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0,0.0,2,1570.0,1700.0,1635.0,2010,231.0
Arabica,United States,2015-03-13,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0,0.0,0,2080.0,2080.0,2080.0,2015,840.0
Arabica,Indonesia,2010-05-31,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0,0.0,0,1200.0,1800.0,1500.0,2010,360.0
Arabica,Ethiopia,2010-06-16,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0,0.0,2,,,,2010,231.0
Arabica,China,2016-04-07,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0,0.0,0,1450.0,1450.0,1450.0,2016,156.0
Arabica,Ethiopia,2015-03-25,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0,0.0,8,1700.0,2000.0,1850.0,2015,231.0
Arabica,United States,2015-03-13,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0,0.0,0,2019.0,2019.0,2019.0,2015,840.0
Arabica,Costa Rica,2014-04-02,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0,0.0,2,1300.0,1300.0,1300.0,2014,188.0
Arabica,Mexico,2012-07-26,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0,0.0,0,1320.0,1320.0,1320.0,2012,484.0
Arabica,United States,2015-03-13,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0,0.0,0,2112.0,2112.0,2112.0,2015,840.0
Arabica,Ethiopia,2013-09-03,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0,0.0,1,,,,2013,231.0
Arabica,Brazil,2011-12-03,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0,0.0,2,1250.0,1250.0,1250.0,2011,76.0
Arabica,Ethiopia,2010-06-16,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0,0.0,2,,,,2010,231.0
Arabica,Uganda,2014-06-26,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0,0.0,1,1950.0,1950.0,1950.0,2014,800.0
Arabica,Honduras,2017-05-18,Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0,0.0,3,1400.0,1400.0,1400.0,2017,340.0
Arabica,Taiwan,2016-05-18,Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0,0.0,0,1200.0,1200.0,1200.0,2016,158.0
Arabica,Nicaragua,2010-05-18,,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0,0.0,2,,,,2010,558.0
Arabica,Tanzania,2013-09-03,,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0,0.0,1,,,,2013,834.0
Arabica,Brazil,2011-12-03,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0,0.0,2,1300.0,1300.0,1300.0,2011,76.0
Arabica,Costa Rica,2015-12-03,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0,0.0,0,1300.0,1300.0,1300.0,2015,188.0
Arabica,Ethiopia,2015-03-27,,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0,0.0,3,1750.0,1800.0,1775.0,2015,231.0
Arabica,Kenya,2014-05-30,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0,0.0,1,1800.0,1800.0,1800.0,2014,404.0
Arabica,United States,2012-04-06,Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,1,0.0,4,,,,2012,840.0
Arabica,United States,2011-01-28,,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,2,0.0,1,,,,2011,840.0
Arabica,Ethiopia,2010-06-17,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0,0.0,2,,,,2010,231.0
Arabica,United States,2015-03-13,Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0,0.0,0,1941.0,1941.0,1941.0,2015,840.0
Arabica,Thailand,2012-04-12,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,1,0.0,9,1300.0,1300.0,1300.0,2012,764.0
Arabica,Brazil,2011-01-04,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0,0.0,2,12.0,12.0,12.0,2011,76.0
Arabica,Brazil,2011-01-04,Yellow Bourbon,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0,0.0,3,12.0,12.0,12.0,2011,76.0
Arabica,Taiwan,2015-06-10,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0,0.0,0,1000.0,1000.0,1000.0,2015,158.0
Arabica,Kenya,2015-01-29,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0,0.0,2,1754.0,1754.0,1754.0,2015,404.0
Arabica,Brazil,2011-12-03,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0,0.0,2,1250.0,1250.0,1250.0,2011,76.0
Arabica,Uganda,2014-10-01,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0,0.0,0,,,,2014,800.0
Arabica,Colombia,2014-03-20,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,1,0.0,1,900.0,1500.0,1200.0,2014,170.0
Arabica,Kenya,2014-02-06,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0,0.0,1,1520.0,2200.0,1860.0,2014,404.0
Arabica,Uganda,2012-02-13,Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0,0.0,0,1400.0,1900.0,1650.0,2012,800.0
Arabica,Ethiopia,2010-06-17,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0,0.0,4,1500.0,2000.0,1750.0,2010,231.0
Arabica,United States,2010-05-31,,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0,0.0,0,426.72,426.72,426.72,2010,840.0
Arabica,Guatemala,2016-05-16,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0,1.0,3,,,,2016,320.0
Arabica,Uganda,2014-06-30,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0,0.0,0,1400.0,1900.0,1650.0,2014,800.0
Arabica,Colombia,2013-07-26,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,1,0.0,0,1800.0,1800.0,1800.0,2013,170.0
Arabica,Panama,2017-10-09,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0,1.0,0,1600.0,1600.0,1600.0,2017,591.0
Arabica,Ethiopia,2015-04-04,,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0,0.0,4,1800.0,2000.0,1900.0,2015,231.0
Arabica,Guatemala,2012-07-03,Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0,0.0,3,1524.0,1524.0,1524.0,2012,320.0
Arabica,Guatemala,2012-06-05,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0,0.0,1,1417.32,1417.32,1417.32,2012,320.0
Arabica,Ethiopia,2017-06-23,Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0,4.0,7,,,,2017,231.0
Arabica,Peru,2014-01-22,,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,4,0.0,6,,,,2014,604.0
Arabica,Papua New Guinea,2012-10-25,,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0,0.0,1,1700.0,1700.0,1700.0,2012,598.0
Arabica,El Salvador,2013-03-18,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0,0.0,3,1500.0,1500.0,1500.0,2013,222.0
Arabica,El Salvador,2013-01-12,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0,0.0,0,1300.0,1400.0,1350.0,2013,222.0
Arabica,United States,2012-04-06,Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0,0.0,1,,,,2012,840.0
Arabica,Panama,2015-05-23,Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,2,0.0,2,1680.0,1680.0,1680.0,2015,591.0
Arabica,Kenya,2015-05-23,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0,0.0,3,1900.0,1900.0,1900.0,2015,404.0
Arabica,Ethiopia,2015-03-31,Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0,0.0,7,1800.0,2000.0,1900.0,2015,231.0
Arabica,Uganda,2014-06-26,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0,0.0,1,1600.0,1600.0,1600.0,2014,800.0
Arabica,Guatemala,2013-02-26,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0,0.0,1,1706.88,1755.648,1731.264,2013,320.0
Arabica,Ethiopia,2015-03-31,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0,0.0,18,1800.0,2000.0,1900.0,2015,231.0
Arabica,Uganda,2014-06-26,SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0,0.0,5,1950.0,1950.0,1950.0,2014,800.0
Arabica,United States,2012-04-06,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,4,0.0,6,,,,2012,840.0
Arabica,Brazil,2011-12-03,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0,0.0,1,1250.0,1250.0,1250.0,2011,76.0
Arabica,El Salvador,2010-05-31,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0,0.0,0,1400.0,1400.0,1400.0,2010,222.0
Arabica,China,2016-04-06,Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0,0.0,0,1700.0,1700.0,1700.0,2016,156.0
Arabica,Guatemala,2015-05-23,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0,0.0,1,1770.0,1770.0,1770.0,2015,320.0
Arabica,Costa Rica,2014-05-01,Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0,0.0,0,1300.0,1300.0,1300.0,2014,188.0
Arabica,Costa Rica,2014-05-01,Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0,0.0,2,1300.0,1300.0,1300.0,2014,188.0
Arabica,Kenya,2013-04-19,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0,0.0,2,1600.0,1600.0,1600.0,2013,404.0
Arabica,Kenya,2013-03-12,SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0,0.0,6,1200.0,1200.0,1200.0,2013,404.0
Arabica,Ethiopia,2010-06-17,,,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0,0.0,2,,,,2010,231.0
Arabica,Ethiopia,2010-06-17,Typica,,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0,0.0,3,,,,2010,231.0
Arabica,Guatemala,2016-04-27,Bourbon,,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0,2.0,2,,,,2016,320.0
Arabica,Colombia,2015-04-08,Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0,0.0,0,1550.0,1550.0,1550.0,2015,170.0
Arabica,Colombia,2014-01-17,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0,0.0,2,1550.0,1550.0,1550.0,2014,170.0
Arabica,Indonesia,2012-11-26,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0,0.0,3,1250.0,1400.0,1325.0,2012,360.0
Arabica,Guatemala,2012-01-18,Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0,0.0,7,1400.0,1400.0,1400.0,2012,320.0
Arabica,Ethiopia,2016-08-09,Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0,1.0,8,,,,2016,231.0
Arabica,Colombia,2015-08-18,Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0,0.0,0,2560.0,2560.0,2560.0,2015,170.0
Arabica,Ethiopia,2014-10-07,,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,2,0.0,7,1700.0,1700.0,1700.0,2014,231.0
Arabica,United States,2014-03-10,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,2,0.0,2,,,,2014,840.0
Arabica,Colombia,2012-03-16,Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0,0.0,8,2136.0,2136.0,2136.0,2012,170.0
Arabica,United States,2010-12-27,,,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,1,0.0,7,,,,2010,840.0
Arabica,Ethiopia,2010-06-17,,,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0,0.0,5,,,,2010,231.0
Arabica,United States,2010-05-17,,,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08,0,0.0,0,,,,2010,840.0
Arabica,Uganda,2017-07-24,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0,0.0,1,1800.0,1800.0,1800.0,2017,800.0
Arabica,Colombia,2017-02-15,Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,0,0.0,3,,,,2017,170.0
Arabica,Costa Rica,2017-01-30,Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,1,1.0,1,1900.0,1900.0,1900.0,2017,188.0
Arabica,Mexico,2016-09-21,Typica,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0,0.0,3,1300.0,1300.0,1300.0,2016,484.0
Arabica,Kenya,2016-05-07,,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0,0,5.0,7,1.0,1.0,1.0,2016,404.0
Arabica,Kenya,2013-04-19,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,0,0.0,5,1580.0,1580.0,1580.0,2013,404.0
Arabica,Brazil,2012-02-29,Mundo Novo,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0,0.0,3,1100.0,1100.0,1100.0,2012,76.0
Arabica,Mexico,2011-04-06,Pacamara,,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0,0,0.0,0,1400.0,1400.0,1400.0,2011,484.0
Arabica,United States,2011-02-24,,,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,85.0,0,0.0,1,,,,2011,840.0
Arabica,Guatemala,2010-09-07,,,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0,0.0,1,1066.8,1584.96,1325.88,2010,320.0
Arabica,Colombia,2016-11-25,Caturra,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92,1,6.0,2,,,,2016,170.0
Arabica,Colombia,2015-10-26,Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0,0.0,1,1600.0,1950.0,1775.0,2015,170.0
Arabica,Taiwan,2015-06-09,Typica,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0,0.0,0,800.0,800.0,800.0,2015,158.0
Arabica,Tanzania,2014-12-12,Other,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0,0.0,2,1620.0,1620.0,1620.0,2014,834.0
Arabica,Colombia,2012-12-11,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0,0.0,3,1600.0,1950.0,1775.0,2012,170.0
Arabica,Mexico,2012-07-11,Typica,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0,0.0,0,1200.0,1200.0,1200.0,2012,484.0
Arabica,Brazil,2011-12-23,Bourbon,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0,0.0,2,1200.0,1200.0,1200.0,2011,76.0
Arabica,Brazil,2011-12-03,Catuai,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0,0.0,2,1000.0,1000.0,1000.0,2011,76.0
Arabica,Kenya,2010-08-26,,,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92,1,0.0,9,,,,2010,404.0
Arabica,Taiwan,2016-05-18,Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83,0,0.0,0,350.0,350.0,350.0,2016,158.0
Arabica,Uganda,2014-06-30,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0,0.0,1,1400.0,1900.0,1650.0,2014,800.0
Arabica,United States,2012-04-06,Hawaiian Kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,84.83,3,0.0,15,,,,2012,840.0
Arabica,Ethiopia,2010-06-17,,,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83,0,0.0,2,1500.0,2000.0,1750.0,2010,231.0
Arabica,Ethiopia,2010-06-17,,,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83,0,0.0,4,1500.0,2000.0,1750.0,2010,231.0
Arabica,Thailand,2016-06-27,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75,0,0.0,0,,,,2016,764.0
Arabica,Kenya,2015-06-02,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0,0.0,0,1800.0,1800.0,1800.0,2015,404.0
Arabica,Honduras,2014-04-25,Catuai,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0,0.0,4,1450.0,1450.0,1450.0,2014,340.0
Arabica,El Salvador,2011-08-23,,,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75,0,0.0,3,1200.0,1200.0,1200.0,2011,222.0
Arabica,Nicaragua,2010-05-31,,,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75,0,0.0,2,800.0,1050.0,925.0,2010,558.0
Arabica,El Salvador,2017-06-26,Bourbon,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67,0,0.0,2,1350.0,1350.0,1350.0,2017,222.0
Arabica,Indonesia,2016-11-24,Java,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0,0.0,7,1200.0,1200.0,1200.0,2016,360.0
Arabica,Japan,2016-11-02,Mundo Novo,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0,0.0,0,170.0,170.0,170.0,2016,392.0
Arabica,Costa Rica,2016-10-04,Catuai,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0,0.0,2,1150.0,1150.0,1150.0,2016,188.0
Arabica,Guatemala,2016-06-01,Bourbon,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0,0.0,1,1600.0,1600.0,1600.0,2016,320.0
Arabica,Costa Rica,2015-07-06,Caturra,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,0,0.0,0,1750.0,1750.0,1750.0,2015,188.0
Arabica,Ethiopia,2015-05-23,Ethiopian Yirgacheffe,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67,0,0.0,3,1900.0,1900.0,1900.0,2015,231.0
Arabica,Costa Rica,2015-05-23,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67,0,0.0,1,1750.0,1750.0,1750.0,2015,188.0
Arabica,Costa Rica,2014-03-05,Catuai,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67,0,0.0,4,1200.0,1200.0,1200.0,2014,188.0
Arabica,Costa Rica,2014-01-03,,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67,1,0.0,10,,,,2014,188.0
Arabica,Taiwan,2013-12-26,Typica,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67,0,0.0,0,1000.0,1000.0,1000.0,2013,158.0
Arabica,Colombia,2013-12-20,Caturra,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67,0,0.0,0,1550.0,1550.0,1550.0,2013,170.0
